date,nav
2023-08-10,37097965.902950995
2023-08-11,36863692.9686706
2023-08-14,37140951.6438949
2023-08-16,37756960.24167322
2023-08-17,37710747.34480738
2023-08-18,37150057.86491846
2023-08-21,37906113.38586115
2023-08-22,38150569.472370856
2023-08-23,38242165.035015814
2023-08-24,38297135.393246405
2023-08-25,37912809.99673151
2023-08-28,38220565.972370856
2023-08-29,38085763.70579218
2023-08-30,38246935.15859675
2023-08-31,38714026.360493414
2023-09-01,39593616.69454645
2023-09-04,40991254.75893053
2023-09-05,41208080.40842088
2023-09-06,40742039.334919296
2023-09-07,41782623.35047563
2023-09-08,43284468.60328325
2023-09-11,45117061.80552324
2023-09-12,42549625.98042711
2023-09-13,42621710.93139299
2023-09-14,43101661.209431015
2023-09-15,43538758.51294359
2023-09-18,43260730.0968593
2023-09-20,43046526.18013414
2023-09-21,42386212.4544185
2023-09-22,42787712.38656267
2023-09-25,42693064.383961044
2023-09-26,42583597.4781154
2023-09-27,43153710.586956345
2023-09-28,42646333.23812517
2023-09-29,43152024.75259813
2023-10-03,43067358.970150314
2023-10-04,42248965.01877602
2023-10-05,42553278.87605294
2023-10-06,42676931.93408211
2023-10-09,41354176.53156289
2023-10-10,42306150.52481087
2023-10-11,42312060.87001809
2023-10-12,42154743.37851723
2023-10-13,42438026.08284768
2023-10-16,42557913.125091635
2023-10-17,42730829.294311605
2023-10-18,42238107.09808358
2023-10-19,42198743.08536538
2023-10-20,41778636.77745827
2023-10-23,39813815.783470236
2023-10-25,39375078.02384194
2023-10-26,39148781.38835915
2023-10-27,40891262.2701722
2023-10-30,40667343.6520768
2023-10-31,40684048.80409249
2023-11-01,40311792.66104134
2023-11-02,40728587.25132781
2023-11-03,41456898.47758514
2023-11-06,41703348.883362114
2023-11-07,42229535.58831817
2023-11-08,42649055.018066704
2023-11-09,42886777.334976494
2023-11-10,43254215.87158233
2023-11-13,44323727.63690215
2023-11-15,45057326.877929986
2023-11-16,45319064.89750701
2023-11-17,46017231.21913177
2023-11-20,46853877.95979339
2023-11-21,46585182.042236626
2023-11-22,46066846.34941131
2023-11-23,46384746.674698174
2023-11-24,46564636.33277923
2023-11-28,46502745.64199859
2023-11-29,46716968.17222625
2023-11-30,47377273.9523471
2023-12-01,48564375.58338958
2023-12-04,49750155.41265226
2023-12-05,49519963.62410856
2023-12-06,49412450.19062925
2023-12-07,49376514.20059324
2023-12-08,49454081.209359415
2023-12-11,50071874.485825785
2023-12-12,50659985.50757719
2023-12-13,51614919.94102598
2023-12-14,51881695.43837858
2023-12-15,52820773.92074705
2023-12-18,53032729.445611246
2023-12-19,53381949.377206095
2023-12-20,51818167.440087564
2023-12-21,53048184.60756803
2023-12-22,53028192.43283964
2023-12-26,52947546.46972013
2023-12-27,52515480.84610105
2023-12-28,52287053.62761808
2023-12-29,52895791.25505186
2024-01-01,53549751.70926786
2024-01-02,53755010.47800832
2024-01-03,53661747.20053487
2024-01-04,53975254.559619956
2024-01-05,54607863.574001364
2024-01-08,54624271.42043691
2024-01-09,55054206.820713095
2024-01-10,54877293.82901388
2024-01-11,55226745.31991201
2024-01-12,55864088.08208852
2024-01-15,55987942.25551992
2024-01-16,55509549.574497275
2024-01-17,55318535.7308312
2024-01-18,55379905.55230337
2024-01-19,55955441.77987295
2024-01-23,54472543.96569448
2024-01-24,56255178.0890389
2024-01-25,56927516.13846212
2024-01-29,57276971.553691916
2024-01-30,57395436.78030782
2024-01-31,58699778.459461264
2024-02-01,59629560.29393392
2024-02-02,60211593.521313
2024-02-05,60730866.32944898
2024-02-06,60733208.746502206
2024-02-07,62018571.608013436
2024-02-08,62950035.442699715
2024-02-09,62183241.61695509
2024-02-12,59785184.94776563
2024-02-13,60000233.21650343
2024-02-14,62492494.21618299
2024-02-15,63173377.01473646
2024-02-16,62913063.98112135
2024-02-19,63495247.95573072
2024-02-20,63700568.42162733
2024-02-21,62623938.123028085
2024-02-22,63022269.472835824
2024-02-23,63798327.779400155
2024-02-26,64258325.84824781
2024-02-27,64990897.39013319
2024-02-28,64681217.2844203
2024-02-29,66395451.588512704
2024-03-01,67160148.20461683
2024-03-04,67128824.93949103
2024-03-05,66436745.18888832
2024-03-06,64674902.70869423
2024-03-07,65751736.524799116
2024-03-11,64973383.96010185
2024-03-12,63699213.31400276
2024-03-13,60001145.485004194
2024-03-14,60684656.125938185
2024-03-15,60820856.038059
2024-03-18,59846031.97016121
2024-03-19,58693911.266864546
2024-03-20,58308315.04196907
2024-03-21,61191182.44179512
2024-03-22,61816267.05426384
2024-03-26,62400914.39474846
2024-03-27,63035328.440761335
2024-03-28,63948953.60119987
2024-04-01,65714959.771655805
2024-04-02,65882020.30412528
2024-04-03,68206077.94484183
2024-04-04,68752515.62677619
2024-04-05,68786209.11290976
2024-04-08,68725956.29780814
2024-04-09,68238016.43129966
2024-04-10,68013781.05074546
2024-04-12,67429125.85467002
2024-04-15,66093508.13640067
2024-04-16,66639600.013842076
2024-04-18,66739633.368067235
2024-04-19,66665816.34202048
2024-04-22,68102207.87232444
2024-04-23,70435438.66300437
2024-04-24,71115091.27349707
2024-04-25,72801358.31148764
2024-04-26,73529739.75710532
2024-04-29,73092299.45203635
2024-04-30,73613445.02384421
2024-05-02,75181949.86087653
2024-05-03,74941005.16776365
2024-05-06,73697798.93766111
2024-05-07,71561477.4975366
2024-05-08,71536754.11486143
2024-05-09,69777189.57834715
2024-05-10,69740934.38378233
2024-05-13,69845542.25214475
2024-05-14,71789736.74863523
2024-05-15,73498757.27510923
2024-05-16,75423035.09569639
2024-05-17,76707604.80194944
2024-05-21,78613505.03760618
2024-05-22,79640376.00421995
2024-05-23,80107246.56136411
2024-05-24,80632054.7236566
2024-05-27,80409890.3279962
2024-05-28,78170722.37691587
2024-05-29,77823108.43583006
2024-05-30,77202993.75110716
2024-05-31,79372951.07677549
2024-06-03,81985015.56522459
2024-06-04,75310281.68918462
2024-06-05,77294303.8140244
2024-06-06,78496978.48174901
2024-06-07,78966404.88304754
2024-06-10,78907495.40941472
2024-06-11,79688691.3382401
2024-06-12,80669606.06447454
2024-06-13,81043884.0983109
2024-06-14,81692686.23722692
2024-06-18,82640655.09145208
2024-06-19,81681567.4487824
2024-06-20,82036048.09934087
2024-06-21,82636783.95574804
2024-06-24,82209747.74307103
2024-06-25,81909793.14804693
2024-06-26,81700484.68505712
2024-06-27,82404142.98244329
2024-06-28,83384041.22238775
2024-07-01,84150555.00148626
2024-07-02,83658923.58911237
2024-07-03,84861656.7369853
2024-07-04,87052772.71000776
2024-07-05,88993044.70346555
2024-07-08,90148223.63221464
2024-07-09,89248061.11993131
2024-07-10,89055756.42001447
2024-07-11,90460770.43046674
2024-07-12,91169984.02382383
2024-07-15,91135729.32888517
2024-07-16,90574882.41980466
2024-07-18,88444892.65266523
2024-07-19,86543052.93440732
2024-07-22,86250979.40483198
2024-07-23,85511014.82226667
2024-07-24,88269195.31834516
2024-07-25,87821763.01100263
2024-07-26,88186512.52954206
2024-07-29,89697979.3856593
2024-07-30,90866501.26126203
2024-07-31,91472491.30286512
2024-08-01,91417762.80140027
2024-08-02,92083940.31886648
2024-08-05,87788623.70096944
2024-08-06,85784271.57814382
2024-08-07,88606559.7739446
2024-08-08,88268773.38550161
2024-08-09,89422728.51169942
2024-08-12,89081501.33770345
2024-08-13,87303878.24442647
2024-08-14,87021122.84086202
2024-08-16,88130864.16374563
2024-08-19,88670175.8598287
2024-08-20,88165845.7357366
2024-08-21,88142532.40342306
2024-08-22,87317260.72678731
2024-08-23,87742893.68558858
2024-08-26,86929496.60247396
2024-08-27,86915759.686321
2024-08-28,88072218.87059377
2024-08-29,87474263.50299428
2024-08-30,87207948.27741598
2024-09-02,86572141.11667226
2024-09-03,86370616.97019196
2024-09-04,85784663.16711426
2024-09-05,85918844.75974274
2024-09-06,83814500.62360382
2024-09-09,83609085.41140747
2024-09-10,85144482.97410583
2024-09-11,84438104.99687958
2024-09-12,85114884.2217865
2024-09-13,85305551.99206543
2024-09-16,84668146.76475525
2024-09-17,84289031.90342712
2024-09-18,82846704.17701721
2024-09-19,81230698.92275238
2024-09-20,83814101.87928772
2024-09-23,82714290.84015656
2024-09-24,82848131.48254395
